video_id,video_url,title,description,published_at,publish_date,publish_time,day_of_week,hour,channel_id,channel_title,category_id,category_name,tags,duration,duration_seconds,duration_minutes,definition,caption,view_count,like_count,favorite_count,comment_count,duration_range
R9f4GST2yQQ,https://www.youtube.com/watch?v=R9f4GST2yQQ,Zuchu - Amanda (Visualizer),"Get #Amanda Now 👇🏼 https://zuchu.lnk.to/amanda Zuchu bares her soul in “Amanda,” a fiery heartbreak anthem where love meets betrayal. With a blend of confidence and pain, she plays the role of a woman whose given her all—beauty, loyalty, and love—only to be blind sided by late-night phone calls and a mysterious woman named Amanda. Laced with catchy hooks and Swahili-English flair, “Amanda” is Zuchu at her boldest: emotional, unapologetic, and demanding the truth. It’s not just a song—it’s a confrontation. https://www.youtube.com/channel/UCOn8zDM533kqzhIA8c3NFbQ?sub_confirmation=1 For Bookings: Contacts -- zuchu@wcbwasafi.com Connect With Zuchu On: Instagram: https://www.instagram.com/officialzuchu/ Facebook: https://www.facebook.com/officialzuchu/ Twitter: https://twitter.com/officialzuchu/ #Zuchu #Music #Wasafi Copyright ©2025 WCB Wasafi. All rights reserved.",2025-08-01 09:57:57+00:00,2025-08-01,09:57:57,Friday,9,UCOn8zDM533kqzhIA8c3NFbQ,Zuchu,10,Music,"['diamond platnumz', 'wana', 'kwaru', 'hakuna kulala', 'raha', 'nisamehe', 'bedroom', 'miss buza', 'jeje', 'gere', 'bachela', 'dodo', 'alikiba', 'diamond', 'yope', 'yope remix', 'kwangwaru', 'afro east', 'wcb', 'tamba', 'nandy', 'aslay', 'na nusu', 'mama', 'corona', 'lava lava', 'harmonize', 'wasafi', 'the story book', 'rayvanny', 'tetema', 'zuchu', 'mauzauza', 'ashua', 'amaboko', 'nyumba ndogo', 'wizkid', 'burna boy', 'sukari', 'davido', 'mwambieni', 'highlights', 'new music', 'trending', 'music video', 'd voice', 'simba', 'yanga', 'love', 'music', 'song']",PT2M39S,159,2.65,hd,False,880369,22857,0,2280,Under 5 min
nb_fFj_0rq8,https://www.youtube.com/watch?v=nb_fFj_0rq8,Avatar: Fire and Ash | Official Trailer,"From Director James Cameron, watch the trailer for Avatar: Fire and Ash. Experience the film only in theaters December 19. With “Avatar: Fire and Ash,” James Cameron takes audiences back to Pandora in an immersive new adventure with Marine turned Na’vi leader Jake Sully (Sam Worthington), Na’vi warrior Neytiri (Zoe Saldaña), and the Sully family. The film, which has a screenplay by James Cameron & Rick Jaffa & Amanda Silver, and a story by James Cameron & Rick Jaffa & Amanda Silver & Josh Friedman & Shane Salerno, also stars Sigourney Weaver, Stephen Lang, Oona Chaplin, Cliff Curtis, Britain Dalton, Trinity Bliss, Jack Champion, Bailey Bass and Kate Winslet. —— ABOUT AVATAR Director: James Cameron Cast: Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang Films: Avatar & Avatar: The Way of Water Visit our website: https://www.avatar.com/ Follow Avatar on Instagram: https://www.instagram.com/avatar/ Follow Avatar on TikTok: https://www.tiktok.com/@avatar Like Avatar on Facebook: https://www.facebook.com/Avatar/ Follow Avatar on X: https://twitter.com/officialavatar #Avatar #AvatarFireandAsh",2025-07-28 15:00:09+00:00,2025-07-28,15:00:09,Monday,15,UCgjxQJ6TlKqhHax8742ZMdA,Avatar,24,Entertainment,[],PT2M26S,146,2.433333333333333,hd,True,19113385,507686,0,28335,Under 5 min
nYH0vXWZ69k,https://www.youtube.com/watch?v=nYH0vXWZ69k,Live : Kenya vs D.R. Congo | African Nations Championship 2025 | Simulation Gameplay PES 2021,Live : Kenya vs D.R. Congo | African Nations Championship 2025 | Full Match Live Streaming | Simulation Gameplay PES 2021,2025-08-03 16:18:41+00:00,2025-08-03,16:18:41,Sunday,16,UC4P_ujgWcdjfNW2z5eQVMyg,Asm Power Gamer,20,Gaming,"['kenya vs dr congo live football', 'kenya dr congo match', 'football live stream', 'soccer kenya dr congo', 'football highlights', 'live soccer', 'africa cup of nations', 'friendly match', 'football 2025', 'live score', 'football prediction', 'football analysis', 'watch live football', 'african football', 'sports live']",PT3H23M15S,12195,203.25,hd,False,309576,714,0,2,Over 120 min
qZgEdZFzkVc,https://www.youtube.com/watch?v=qZgEdZFzkVc,MATATA ft. MEJJA - TIKI TAKO [Official Music Video],"Matata ft. Mejja – Tikitako (Official Music Video) Connect with Matata Instagram : https://instagram.com/matataofficial?... Twitter: / matataofficial1 Facebook : / matatanorge Spotify : https://open.spotify.com/artist/7imj8... Production Company Katabira Films® Directed by Katabira Films & Matata Produced by Matata Director of Photography Katabira Denis Assistant Director Sobukwe Nonkwe Gaffer / Lighting Martinsnaps Editor Katabira Denis Set Designer Mr. Elijah (Art Department KE) Dancers Cluster Motherland Family Baddies Fusion Best Boy / Grip Roy Norva.DG Written by - Matata & Mejja Performed By- Matata & Mejja Produced By- Woud Omollo Mixed By- Mixedbychopz Matata ft. Mejja – Tikitako (Official Music Video) Matata teams up with legendary hitmaker Mejja to deliver the high-energy banger “Tikitako” the official follow-up to their viral smash “Mpishi” (10+ million YouTube views in just 2 months!). Tikitako is a vibrant celebration of street energy, kenyan rhythms, and Matata’s signature blend of dance, culture, and creativity. With razor-sharp choreography, cinematic visuals, and unstoppable chemistry, this track is made to move you! Mpishi took over Kenya – now Tikitako is coming for the world. Join the movement, watch, like, comment, and share! Lyrics Tiki tako Chorus Tuko juu ya jaba, tume seti tuko on Zimekanashi ku arrest beyond (BEYOND) Ka unadai form, tukona hadi miti shamba Huku kuna hadi waganga and beyond (ay ay ay ay) x2 Hook Tiki tako, ah ah Tiki hiyo tako Ayy Tiki tako, ah ah Tiki hiyo tako ah x2 Verse Huku tunatibu hadi malaria, kam na geri ah Hapa kenye hakuna za ukeke na gonorhoea Alafu tumeseti tuko jaba na ma warria Ambia humdem ana dera nina chapo anaeza kalia Ai ai honey, mi huwaga somebody Leo mi ordinary kesho summer bunny Ai ai ai honey please come dine na mi Later zikinice tuache ilale ndani Nina keys to the city, Give me keys to your kitty Kiss to infinity nadai round ya pili Na Usthani nakudai ju ya Nyash that’s a lie Nasithani umewai juu ya cash another lie Chorus Tuko juu ya jaba, tume seti tuko on Zimekanashi ku arrest beyond (BEYOND) Ka unadai form, tukona hadi miti shamba Huku kuna hadi waganga and beyond (ay ay ay ay) x2 Hook Tiki tako, ah ah Tiki hiyo tako Ayy Tiki tako, ah ah Tiki hiyo tako ah x2 Verse 2 Nina swali nani hu motivate ma motivator Swali Mbona crockdile si aligator Swali Mbona huroll ngwai ma coated paper Swali Mbona hupendi kuserereka Ai ai honey, mi huwaga somebody Leo mi ordinary kesho summer bunny Ai ai ai honey please come dine na mi Later zikinice tuache ilale ndani Najifanya ni ka siko na mali iko shiko Nimeshika ma mita so zabe me siko Akili ni ya 50 ya fifty na rangi ya thao Mwili ni ya nini ka huwezi ji nao Chorus Tuko juu ya jaba, tume seti tuko on Zimekanashi ku arrest beyond (BEYOND) Ka unadai form, tukona hadi miti shamba Huku kuna hadi waganga and beyond (ay ay ay ay) x2 Hook Tiki tako, ah ah Tiki hiyo tako Ayy Tiki tako, ah ah Tiki hiyo tako ah x2 Verse 3 Me nataka manzi ako na beads kwa waist Naskia wanakuwanga freak kwa bed Me nataka ku find out just incase Nita settle down niko jaba Jaba yangu hushika na ka rosta Ka jasho kanaanza kunitoka Zina nishow vile nime omoka Huyu dem me nambeba take away Atakuwa mteja hadi next week Ma usiku naskia uki ji DJ Ukitaka ndakusaidia ku mix We mpige block alafu give me a kiss Chorus Tuko juu ya jaba, tume seti tuko on Zimekanashi ku arrest beyond (BEYOND) Ka unadai form, tukona hadi miti shamba Huku kuna hadi waganga and beyond (ay ay ay ay) x2 Hook Tiki tako, ah ah Tiki hiyo tako Ayy Tiki tako, ah ah Tiki hiyo tako ah x2",2025-07-25 05:23:48+00:00,2025-07-25,05:23:48,Friday,5,UCJ2XnwRKT0ksT9E1lri1wlg,MATATA OFFICIAL,10,Music,"['Matata ft mejja', 'matata tikitako', 'tiki tako', 'matata new song', 'matata mpishi', 'matata ft bien mpishi', 'bien shifura', 'mejja new song', 'bien new song', 'kenyan music', 'trending kenyan songs', 'kenyan songs mix', 'mejja songs', 'mejja latest song', 'mejja ya mwisho', 'kenya youtube trending', 'arbantone mix', 'toxic lyrikali', 'diamond platinumz', 'mejja mix', 'matata songs', 'matata inakubalika', 'kenyan mix 2025', 'bien songs', 'all my enemies are suffering', 'toxic lyrically', 'diamond ft bien']",PT4M2S,242,4.033333333333333,hd,False,1035173,21736,0,1189,Under 5 min
5r-7eWDBc40,https://www.youtube.com/watch?v=5r-7eWDBc40,GOAT - Official Teaser Trailer (HD),"You’re never too small to dream big. From the studio that brought you Spider-Man: Across the #SpiderVerse and producer Stephen Curry, #GOATmovie is exclusively in movie theatres February 2026. Visit our site: https://goat.movie/ Find your team: https://theroarleague.com/ Follow Us on Social: https://www.instagram.com/goatmovieofficial https://www.facebook.com/goatmovieofficial https://www.tiktok.com/@goatmovieofficial https://x.com/the_goat_movie Subscribe for more exclusive content: https://www.youtube.com/@sonypictures From Sony Pictures Animation, the studio behind Spider-Man: Across the Spider-Verse, comes GOAT, an original action-comedy set in an all-animal world. The story follows Will, a small goat with big dreams who gets a once-in-a-lifetime shot to join the pros and play roarball – a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world. Will’s new teammates aren’t thrilled about having a little goat on their roster, but Will is determined to revolutionize the sport and prove once and for all that “smalls can ball!” Directed by: Tyree Dillihay Co-Directed by: Adam Rosette Produced by: Michelle Raimo Kouyate Stephen Curry Erick Peyton Adam Rosenberg Rodney Rothman Executive Producers: Rick Mischel Fonda Snyder Cast: Caleb McLaughlin Gabrielle Union Stephen Curry Nicola Coughlan Nick Kroll David Harbour Jenifer Lewis Aaron Pierre Patton Oswalt Andrew Santino Bobby Lee Eduardo Franco Sherry Cola Jelly Roll Jennifer Hudson Credits not final This film is not yet rated by The Motion Picture Association. For future rating information, please visit www.filmratings.com. #SonyPictures #Trailer #MovieTrailer #OfficialTrailer #CalebMcLaughlin #GabrielleUnion #StephenCurry #NicolaCoughlan #NickKroll #DavidHarbour #JeniferLewis #AaronPierre #PattonOswalt #AndrewSantino #BobbyLee #EduardoFranco #SherryCola #JellyRoll #JenniferHudson",2025-07-30 12:59:45+00:00,2025-07-30,12:59:45,Wednesday,12,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,24,Entertainment,[],PT2M14S,134,2.2333333333333334,hd,True,27193369,110500,0,7541,Under 5 min
2PdnsO5LnpA,https://www.youtube.com/watch?v=2PdnsO5LnpA,LIVE🔴| Kenya vs DR Congo - African Nations Championship | PES 21 Simulation,"🎮 Welcome to our Football Simulation Channel! ⚽ This is a *PES 2021 (eFootball) gameplay simulation* of Kenya vs DR Congo. LIVE🔴| Kenya vs DR Congo - African Nations Championship | PES 21 Simulation ✅ This is NOT a real match – it’s AI vs AI gameplay inside the PES 2021 game. ✅ Created for football fans to enjoy dream matches virtually! ✅ Streamed live / Uploaded as a simulation (with AI content marked as “Yes”) ✅ Logos used are in-game assets only. No real match footage used. 🎯 Enjoy virtual versions of popular matches, with commentary, excitement, and realistic gameplay. If you like football gaming content, don’t forget to: 👍 Like 💬 Comment 🔔 Subscribe 📢 This content is not affiliated with FIFA, UEFA, EA, or Konami. All rights belong to their respective owners. ⚠️ *DISCLAIMER:* This is a football video game simulation for entertainment purposes only. All players and teams are AI-controlled, and no real-life footage is included. In this space we Play real matches using the video game PES 2021 Simulation, All the videos uploaded to this channel are recorded from a video game , I upload videos in order to entertain Everyone. Thanks for watching, This is a Gameplay recorded from a Game PES & edited. This video is only to entertain people. All the players are playing in game are not real they are AI generated from a game. This is a gameplay video which is already mentioned in Title description & Thumbnails where i used the game LOGO. And also in Altered content (AI) section it is selected as yes. ENJOY THE GAME, IF YOU LIKE MY CONTENT DON""T FORGET TO LIKE & SUBSCRIBE. Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statutes that might otherwise be infringing. Non-profit, educational, or personal use tips the balance in favor of fair use. #livefootball #footballlive #kenya #drcongo #africannationschampionship",2025-08-03 14:32:09+00:00,2025-08-03,14:32:09,Sunday,14,UCNh4Zf1Jtk2LWBAJ6QcEWNA,RAUNDLER,20,Gaming,"['Live football match today', 'football khela', 'live football', 'football live', 'football', 'football match today', 'live football match', 'football live today', 'raundler live', 'Pes 21', 'Pes 21 gameplay', 'Pes gameplay', 'African Nations Championship', 'Kenya vs DR Congo', 'Kenya vs DR Congo live', 'Kenya football live', 'DR Congo football live', 'Kenya live', 'DR Congo live', 'DR Congo vs Kenya live', 'DR Congo live football', 'Kenya live football', 'Kenya vs DR Congo Live match today', 'Simulation Match']",PT4H39M11S,16751,279.18333333333334,hd,False,285322,589,0,11,Over 120 min
2tkOVIYMUXA,https://www.youtube.com/watch?v=2tkOVIYMUXA,BIEN - All My Enemies Are Suffering. (Official Music Video),"Song Credits: Artist - Bien Writers - Bienaime, Flavour, Remy Baggins and Chiki Kuruka Producer - Remy Baggins Guitars- Godwin Ufot Isukuti Drums - Joseck Asikoye & the Luhya drummers BGVs - Benjamin Masinde, Amani Baya, Yvan Kwizera, Joseck Asikoye, Remy Baggins Mix & Master - Michael Manitshana Crew: Producer - Chiki Kuruka Line Producer - Aisha (Shaa Ciku) Wanjiku Director - Melih Kun DOP - Omer Berkli Color : Ercan Kucuk (Postbrothers) Editor:Mert Halili L&G - Lenny Kariuki BTS - Leon Kipkemboi Production Coordinator - William Nanjero Production Coordinator - Joseck Asikoye Costume Designer - Brian Babu Costume Design Team - Leban Weru Costume Design Team - Alvin Mclaren Hair - Corrine Muthoni Makeup - Zen Makeup Artistry Security- Joseph Adiedo Team Bien - Mona Mungai Performers: Main Artist - Bien Lead Dancer - Kelvin Lore Dancer - Nicole Dancer - PJ Towel Dancer - King Dancer - Liz Dancer - Drew Actor - Joseck Asikoye Actor - DJ Shiti Actor - Bradley The Gen Z Goliath",2025-07-18 07:00:06+00:00,2025-07-18,07:00:06,Friday,7,UCYKXCpJbGe3fTYILjpJgW2A,Bien,10,Music,[],PT3M51S,231,3.85,hd,False,3049101,94327,0,7860,Under 5 min
5ZvbQ48GAyk,https://www.youtube.com/watch?v=5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,"Hoping for a fresh start in Silver Falls, Jackie discovers second chances aren't guaranteed when unresolved feelings and small-town tensions resurface. Watch on Netflix: https://www.netflix.com/title/81717889 About Netflix: Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. My Life With the Walter Boys: Season 2 | Official Trailer | Netflix https://www.youtube.com/@Netflix",2025-08-05 15:00:00+00:00,2025-08-05,15:00:00,Tuesday,15,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,24,Entertainment,"['Ashby Gentry', 'Connor Stanhope', 'Corey Fogelmanis', 'Family Life', 'Heartfelt', 'Jaylan Evans', 'Johnny Link', 'Marc Blucas', 'My Life With the Walter Boys', 'My Life With the Walter Boys Season 2', 'Netflix', 'Nikki Rodriguez', 'Noah LaLonde', 'Official Trailer', 'Sarah Rafferty', 'Sibling Relationships', 'Trailer', 'Zoë Soul']",PT1M52S,112,1.8666666666666667,hd,True,484803,14931,0,1005,Under 5 min
DgPH5JcPelg,https://www.youtube.com/watch?v=DgPH5JcPelg,KENYA vs DR CONGO | TotalEnergies African Nations Championship 2025 | CHAN 2024 (2025),"⚽ Live Kenya vs DR Congo CAF African Nations Championship 2024 (2025) 🗓️ 03 August 2025 🏟️ Stadium description is in the video 🕗 Time information is in the video 📺 WHERE TO WATCH : Channel info is in the video TV channel : 🔴 Live streaming : (Fixture dates and times may change, subject to TV selections and replays). ⚠️ PLEASE NOTE : This video does not show a live broadcast of the match and not highlights, but about the match schedule, time, statistics and predictions. For live streaming information, please check the video description. thank you for your understanding. Kenya vs DR Congo African Nations Championship 2024 Kenya vs DR Congo CHAN 2024 Match Preview Kenya vs DR Congo African Nations Championship 2024 Live Score Kenya vs DR Congo African Nations Championship 2024 Kenya vs DR Congo African Nations Championship 2024 Kenya vs DR Congo TotalEnergies African Nations Championship 2024 Kenya vs DR Congo TotalEnergies CHAN 2024 LIVE, Kenya vs DR Congo, CHAN 2024, Live Match Updates EN DIRECT, Kenya vs DR Congo, Éliminatoires CHAN 2024, Mises à jour du match en direct If you enjoy our content, support Football Team JB by pressing the ""SUBSCRIBE"" button. Every single like and subscribe make me feel good, also motivates me to create more videos. Thanks! ➡Subscribe, click the bell 🔔 to get notifications about our videos ➥ / footballteamjb ❌ Do not copy paste my title, description, and hashtag that i write and made, or i will send copyright violation through youtube authorities! #TotalEnergiesCHAN2024 #chan2024 #chan2025 #footballteamjb #africannationschampionship #totalenergiesafcon #totalenergiesafconq2024 #africacupofnations #afcon #caf #chan2024qualifiers #afcon2024 #can2024 #can2025 #africacupofnationsprediction #chan2024qualifiers #kenya #tanzania #uganda #kenyafootball #drcongo #drcongofootball #democraticrepublicofcongo #democraticrepublicofthecongo ⚠️ DISCLAIMER : ► I do not own the rights to the logo, images and sound. All rights belong to their respectful owners. This video is not intended to violate any condition of use. ► This video is educative, not inspire a conflicts, including example, image and reference are provided for informational purposes only. ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ ⚠️ WARNING! IMPORTANT! READ FIRST! : ► All the videos on this channel are made by myself. Do not imitate and steal my video content, if you violate, then i will give you a direct copyright strike! ► Video created by Football Team JB. The following video voice over and edits belongs to Football Team JB. ► Do not copy paste my title, description, and hashtag that i write and made! ► Using this video in any social platform is strictly prohibited. Embedding to Website is allowed. ► If you have a problem with the content used on my channel, or you find an image/video clip/audio that belongs to you, before you claim it to YouTube, please send us a message via mail, or in the comments column on one of my videos, and we will immediately delete it as soon as possible. ► I repeat it once again so that You Understand. Do not nopy paste my title, description, and hashtag that i write and made, or i will send copyright violation through youtube authorities! ► Avoid comments that are misleading and irrelevant to the content of the video, or SARA. All comments are the responsibility of each user. Thank you for your understanding. Thank you for watching. Don't forget to Subscribe, Like our videos. Description text in the video is typed and made by me, copy paste is strictly prohibited! Video Copyright By © FOOTBALL TEAM JB. All Rights Reserved.",2025-08-02 14:27:21+00:00,2025-08-02,14:27:21,Saturday,14,UCrAzGiFr2-GkBH03paCPHwQ,FOOTBALL TEAM JB,17,Sports,"['Kenya vs DR Congo African Nations Championship 2024', 'Match Preview Kenya vs DR Congo African Nations Championship 2024', 'Live Score Kenya vs DR Congo African Nations Championship 2024', 'African Nations Championship', 'African Nations Championship Qualifiers', 'African Nations Championship Qualification', 'TotalEnergies African Nations Championship 2024', 'TotalEnergies CHAN 2024 Qualifiers', 'CHAN 2024', 'CHAN 2025', 'Kenya vs DR Congo']",PT1M10S,70,1.1666666666666667,hd,False,183957,0,0,10,Under 5 min
RPIykhz53-E,https://www.youtube.com/watch?v=RPIykhz53-E,TOXIC LYRIKALI - BACKBENCHER (Official Video),To set Backbencher as your Skiza Tune. Dial *875*796# Stream/Download: https://ampl.ink/MvwXG Follow Toxic Lyrikali: Instagram: https://www.instagram.com/_toxic_lyrikali Tik Tok: https://www.tiktok.com/@toxic_lyrikali Twitter: https://x.com/lyrikali_t Subscribe: https://youtube.com/@mbokadoba?si=G9KJAQzok91-stFU BRICKHOUSE PRODUCTION: https://www.instagram.com/brickhouseproduction Produced by Countree Hype: https://www.instagram.com/countree_hype Directed by TN Zethy https://www.instagram.com/director.zethy Mix & Master by vlmightysos https://www.instagram.com/vlmightysos #toxiclyrikali #backbencher #fastnfuriousriddim #sclass #countreehype Music video by Toxic Lyrikali performing Backbencher.© 2025 Countree Hype Ent/Mboka Doba LLC.,2025-07-18 15:30:07+00:00,2025-07-18,15:30:07,Friday,15,UC7q5EQvi2fJTQvwZRi0QJnw,Toxic Lyrikali,10,Music,[],PT3M1S,181,3.0166666666666666,hd,True,2748811,63660,0,3405,Under 5 min
